count,category
1899,"QUALITY"
1869,"ARCHITECTURE"
734,"architecture"
478,"INTEGRATION"
391,"implementation"
366,"PERFORMANCE"
248,"quality"
227,"ALGORITHM"
205,"DOCUMENTATION"
135,"FACADE"
134,"STUB"
129,"IMPLEMENTATION"
129,"correctness"
123,"integration"
115,"algorithm"
110,"testing"
100,"SECURITY"
99,"PLACEHOLDER"
97,"performance"
89,"GENUINE"
80,"facade"
71,"security"
69,"BUG"
55,"design"
54,"stub"
49,"documentation"
45,"INNOVATION"
38,"code-quality"
38,"fabrication"
37,"optimization"
36,"CORRECTNESS"
34,"positive"
30,"bug"
29,"completeness"
29,"incomplete"
28,"REAL"
27,"POSITIVE"
26,"Quality"
25,"error-handling"
24,"fabricated"
23,"configuration"
23,"dead-code"
23,"dependency"
22,"deception"
22,"test-coverage"
21,"FABRICATION"
21,"TESTING"
20,"DESIGN"
20,"REAL_IMPLEMENTATION"
19,"FEATURE"
19,"REAL_CODE"
19,"api-design"
19,"metrics"
18,"api"
18,"pattern"
18,"placeholder"
16,"Architecture"
16,"DEPENDENCY"
16,"dependencies"
16,"limitation"
16,"reliability"
15,"config"
15,"incomplete-implementation"
14,"GENUINE_IMPLEMENTATION"
14,"PATTERN"
14,"fabricated-data"
14,"genuine"
14,"real-implementation"
14,"validation"
13,"INCOMPLETE"
13,"algorithm-quality"
13,"correct-implementation"
12,"realness"
12,"type-safety"
11,"algorithm-real"
11,"concurrency"
11,"misleading"
11,"observability"
10,"ASSESSMENT"
10,"LIMITATION"
10,"feature"
10,"functionality"
9,"INCOMPLETE_IMPL"
9,"TEST_QUALITY"
9,"fabricated-metrics"
9,"implementation-quality"
9,"real"
8,"CODE_QUALITY"
8,"ERROR_HANDLING"
8,"Implementation"
8,"MISLEADING"
8,"OPTIMIZATION"
8,"Performance"
8,"QUANTUM_FACADE"
8,"accuracy"
8,"algorithm-correctness"
8,"infrastructure"
8,"interface"
7,"ARCHITECTURE_FACADE"
7,"DATA_STRUCTURE"
7,"Demonstration"
7,"GAP"
7,"GENUINE_ALGORITHM"
7,"GENUINE_SIGNAL"
7,"INCOMPLETE_IMPLEMENTATION"
7,"Integration"
7,"architectural-finding"
7,"benchmark-quality"
7,"comparison"
7,"data-generation"
7,"data-structures"
7,"memory"
7,"orchestration"
7,"protocols"
7,"real-wasm"
7,"reporting"
7,"types"
6,"CONFIG_GAP"
6,"LEGITIMATE_ALGORITHM"
6,"ROADMAP"
6,"Stub"
6,"api-mismatch"
6,"api-surface"
6,"best-practice"
6,"data-structure"
6,"genuine-implementation"
6,"logic"
6,"naming"
6,"orphaned"
6,"portability"
5,"API_DESIGN"
5,"CONFIG"
5,"FACADE_PATTERN"
5,"FALSE_COMPLEXITY"
5,"FUNCTIONALITY"
5,"Genuine"
5,"HELPER"
5,"PHANTOM_WRAPPER"
5,"TEST_COVERAGE"
5,"analysis-quality"
5,"anti-pattern"
5,"broken"
5,"broken-dep"
5,"data-flow"
5,"data-quality"
5,"design-pattern"
5,"facade-deception"
5,"fallback"
5,"genuine-algorithms"
5,"genuine-infrastructure"
5,"heuristic"
5,"misrepresentation"
5,"missing-implementation"
5,"production-quality"
5,"stub-implementation"
5,"theatrical"
4,"ARCHITECTURE_MISMATCH"
4,"ASYMPTOTIC_MISLABELING"
4,"AgentDB"
4,"BEHAVIORAL_DIFF"
4,"CAPABILITY"
4,"COMPUTATION"
4,"CONFIGURATION"
4,"CROSS_REFERENCE"
4,"Code Quality"
4,"DEAD_CODE"
4,"Design"
4,"FALLBACK"
4,"FEATURES"
4,"INTERFACE_DESIGN"
4,"MISSING_FEATURE"
4,"MISSING_IMPLEMENTATION"
4,"ORCHESTRATION"
4,"RELIABILITY"
4,"SIMPLIFICATION"
4,"SYNTHETIC_MEASUREMENT"
4,"architecture-gap"
4,"broken-api"
4,"chaos-theory"
4,"code-organization"
4,"codegen"
4,"core-algorithm"
4,"data-integrity"
4,"data-model"
4,"demonstration"
4,"disconnected"
4,"hardcoded-logic"
4,"inconsistency"
4,"missing-integration"
4,"networking"
4,"numerical-stability"
4,"observation"
4,"persistence"
4,"protocol"
4,"resilience"
4,"robustness"
4,"security-genuine"
4,"serialization"
4,"simulated-work"
4,"statistical-validity"
