count,relationship
503,"imports"
128,"uses"
59,"module-sibling"
31,"IMPORTS"
31,"exports"
29,"re-exports"
25,"USES"
23,"pub_module_declaration"
20,"compiles"
20,"imports_from"
18,"calls"
15,"pub_mod"
15,"used_by"
14,"BARREL_EXPORT"
12,"implements"
10,"declares_module"
9,"USED_BY"
9,"declares"
9,"sibling"
8,"DEPENDS_ON"
8,"mod-declaration"
8,"requires"
8,"used-by"
7,"EXPORTS"
7,"internal_usage"
7,"peer"
6,"co-module"
6,"module-declares"
6,"sibling-module"
6,"type-definitions"
5,"GENERATES"
5,"TESTS"
5,"consumed_by"
5,"depends_on"
5,"imports_type"
5,"imports_types"
5,"instantiates"
5,"missing_config_for"
5,"parallel-implementation"
5,"pub mod"
5,"pub_use"
5,"tests"
4,"CONSUMED_BY"
4,"INDIRECT_EXPORT"
4,"calls_method"
4,"exported_by"
4,"extends"
4,"imports_class"
4,"module-reexport"
4,"parallel_implementation"
4,"pub_mod_reexport"
4,"re-export"
4,"registers_tools_from"
4,"submodule"
4,"type_consumer"
4,"uses_types"
4,"wasm_binding"
4,"wraps_native"
3,"DEFINES"
3,"IMPORTED_BY"
3,"RE_EXPORTS_MODULE"
3,"SIBLING_MODULE"
3,"bypasses"
3,"delegates_to"
3,"error type dependency"
3,"includes"
3,"loads compiled WASM"
3,"parallel-system"
3,"parallel_to"
3,"reimplements"
3,"related"
3,"trait_impl"
3,"uses_type"
2,"CONDITIONAL_EXPORT"
2,"PARALLEL_IMPLEMENTATION"
2,"RELATED_IMPLEMENTATION"
2,"SIBLING_SCENARIO"
2,"cfg_module"
2,"configures"
2,"consumes"
2,"cross-lang-api"
2,"declares-submodule"
2,"delegates-to"
2,"direct-import"
2,"dynamic-import"
2,"executor uses AST from parser"
2,"feeds"
2,"import"
2,"imports - uses super::NEON_LANE_WIDTH"
2,"imports - uses super::{NEON_LANE_WIDTH, UNROLL_FACTOR}"
2,"imports-and-calls"
2,"imports-facade"
2,"imports-types"
2,"imports-unused"
2,"mirrors"
2,"module-member"
2,"module:exported"
